hex,count_good_aircraft,count_bad_aircraft
8429a09ffffffff,824,93
8429a0dffffffff,565,162
8429a63ffffffff,293,0
8429a57ffffffff,2358,627
8429a0bffffffff,2414,603
8429a03ffffffff,527,79
842aa2bffffffff,153,0
842aa07ffffffff,169,0
842aa1dffffffff,150,0
84269a7ffffffff,92,0
84269a5ffffffff,129,0
8429967ffffffff,157,0
8429929ffffffff,72,0
842a85dffffffff,150,0
842a843ffffffff,191,0
8426da7ffffffff,208,0
8448d65ffffffff,120,0
8445051ffffffff,14,0
8445053ffffffff,32,7
84452a5ffffffff,16,13
844501bffffffff,21,9
84450cdffffffff,34,1
84446d5ffffffff,1069,9
84446d7ffffffff,368,0
8444691ffffffff,237,0
8426a55ffffffff,9,0
8426a51ffffffff,34,0
8426a53ffffffff,6,0
8426a5bffffffff,38,0
842612dffffffff,25,0
8426167ffffffff,32,0
8426129ffffffff,21,0
8444debffffffff,291,0
8427837ffffffff,58,0
8427835ffffffff,42,0
84279c9ffffffff,96,0
8427827ffffffff,78,0
842791bffffffff,91,0
84275bbffffffff,294,0
84275b1ffffffff,249,0
84275b5ffffffff,215,0
8426749ffffffff,166,0
844473dffffffff,101,0
8444731ffffffff,61,0
844473bffffffff,214,0
844446dffffffff,134,0
8444717ffffffff,151,0
8426e5bffffffff,221,0
8426565ffffffff,330,76
842670bffffffff,128,0
8426757ffffffff,225,0
8426751ffffffff,332,0
842675bffffffff,185,0
8444c11ffffffff,889,0
8444c1bffffffff,1589,0
84275b9ffffffff,255,0
8444c61ffffffff,57,0
8426539ffffffff,138,0
8426503ffffffff,154,0
842651dffffffff,194,12
842650bffffffff,41,0
8426557ffffffff,158,0
8426551ffffffff,288,0
842a921ffffffff,383,0
842a92dffffffff,144,0
8426653ffffffff,162,117
8426651ffffffff,290,0
8444367ffffffff,30,0
8444361ffffffff,41,0
8444369ffffffff,23,18
84450a7ffffffff,365,0
84450a5ffffffff,63,0
844519bffffffff,44,0
844451bffffffff,113,0
8444425ffffffff,85,0
8444427ffffffff,72,0
8444421ffffffff,234,0
844442bffffffff,161,0
8444e39ffffffff,15,0
8444e3bffffffff,77,0
8444eedffffffff,177,0
8426489ffffffff,12,0
84264d5ffffffff,187,0
84264d1ffffffff,822,0
842b81dffffffff,150,0
842b857ffffffff,39,0
842b853ffffffff,152,0
842b851ffffffff,140,0
842b85bffffffff,92,0
842bae5ffffffff,95,0
8426cb1ffffffff,763,16
8426e57ffffffff,120,0
8426e1dffffffff,127,0
8426e0bffffffff,84,0
8426e03ffffffff,120,0
8426e07ffffffff,250,1
8444ac5ffffffff,932,40
8429a2dffffffff,164,0
8429a29ffffffff,372,0
8429a05ffffffff,364,0
8444457ffffffff,167,0
844440dffffffff,282,0
84446ddffffffff,432,41
84446d1ffffffff,722,0
84446d9ffffffff,227,0
84446dbffffffff,344,0
84489e7ffffffff,412,107
8426099ffffffff,44,0
84260d3ffffffff,47,0
8444461ffffffff,261,0
8444405ffffffff,261,0
8444401ffffffff,242,0
8429b69ffffffff,554,4
8429b45ffffffff,365,7
8429b41ffffffff,92,0
8429b43ffffffff,322,0
8448d41ffffffff,207,0
8448d4dffffffff,59,0
8448893ffffffff,128,0
8448897ffffffff,115,0
84441c1ffffffff,53,0
84441cbffffffff,59,0
84441ddffffffff,80,0
8444037ffffffff,55,0
8426d43ffffffff,88,0
8448c01ffffffff,38,0
8448c05ffffffff,109,0
842a80dffffffff,166,0
842a805ffffffff,74,0
8444e07ffffffff,179,0
8444e05ffffffff,142,0
8444e29ffffffff,239,0
8444e67ffffffff,268,0
8426d41ffffffff,142,0
8426d4bffffffff,106,0
8426f37ffffffff,180,0
8426f31ffffffff,102,0
8426f3bffffffff,66,0
842ab31ffffffff,291,0
842ab35ffffffff,375,0
